Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Ceretto Barolo 2017,Italy,Nebbiolo,Red Wine,5.0,21, 2017,65.99
Santa Margherita Chianti Classico Riserva 2019,Italy,Sangiovese,Red Wine,0.0,0, 2019,24.99
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro 2016,Italy,Sangiovese,Red Wine,0.0,0, 2016,199.99
Elvio Cogno Ravera Barolo 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,109.99
Prunotto Fiulot Barbera d'Asti 2019,Italy,Barbera,Red Wine,4.0,61, 2019,17.99
Castello della Paneretta Chianti Classico Riserva 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,36.99
Allegrini Palazzo della Torre 2018,Italy,Other Red Blends,Red Wine,4.0,141, 2018,18.99
Ruffino Ducale Chianti Classico Riserva 2018,Italy,Sangiovese,Red Wine,4.3,22, 2018,27.99
Bellavista Franciacorta Alma Cuvee Brut,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.3,73,Not available,34.99
Regaleali Nero d'Avola 2018,Italy,Nero d'Avola,Red Wine,3.7,44, 2018,18.99
Tornatore Etna Rosso 2019,Italy,Nerello Mascalese,Red Wine,3.9,40, 2019,19.99
Castello di Verrazzano Chianti Classico 2018,Italy,Sangiovese,Red Wine,4.3,16, 2018,25.99
Giulia Negri Barolo Serradenari 2018,Italy,Nebbiolo,Red Wine,0.0,0, 2018,89.99
Honey Bubbles Sparkling Moscato,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.5,77,Not available,17.99
Varvaglione Vigne & Vini srl Primitivo di Manduria Papale Linea Oro 2017,Italy,Primitivo,Red Wine,4.0,32, 2017,23.99
Venica & Venica Jesera Pinot Grigio 2021,Italy,Pinot Gris/Grigio,White Wine,0.0,0, 2021,22.99
Feudo Maccari Nero d'Avola 2018,Italy,Nero d'Avola,Red Wine,3.8,93, 2018,17.99
Vietti Barbera d'Alba Tre Vigne 2019,Italy,Barbera,Red Wine,3.9,32, 2019,25.99
Castello di Querceto Chianti Classico 2020,Italy,Sangiovese,Red Wine,0.0,0, 2020,15.99
Tramin Unterebner Pinot Grigio 2020,Italy,Pinot Gris/Grigio,White Wine,4.3,5, 2020,39.99
Terlan Terlaner Cuvee 2021,Italy,Other White Blends,White Wine,0.0,0, 2021,31.99
Tenuta San Leonardo San Leonardo 2016,Italy,Bordeaux Red Blends,Red Wine,0.0,0, 2016,89.99
Frescobaldi Remole Toscana Rosso 2019,Italy,Tuscan Blends,Red Wine,4.1,34, 2019,11.99
Terredora di Paolo Fiano di Avellino 2020,Italy,Fiano,White Wine,4.0,21, 2020,22.99
Petra Hebo Suvereto Rosso 2019,Italy,Tuscan Blends,Red Wine,4.5,25, 2019,24.99
FitVine Wine Prosecco,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,0.0,0,Not available,18.99
La Spinetta Barbera d'Asti Ca Di Pian 2019,Italy,Barbera,Red Wine,3.8,10, 2019,23.99
Tenute Neirano Barbera D'Asti Superiore Tirteo 2019,Italy,Barbera,Red Wine,4.6,41, 2019,12.99
Fontodi Chianti Classico 2019,Italy,Sangiovese,Red Wine,0.0,0, 2019,46.99
Casanuova delle Cerbaie Brunello di Montalcino 2012,Italy,Sangiovese,Red Wine,4.5,11, 2012,53.99
Caparzo Rosso di Montalcino 2019,Italy,Sangiovese,Red Wine,3.9,39, 2019,22.99
Ferrari Brut Rose,Italy,Sparkling Rosé,Sparkling & Champagne,4.3,71,Not available,35.99
Paitin Starda Langhe Nebbiolo 2020,Italy,Nebbiolo,Red Wine,4.2,8, 2020,23.99
Beni di Batasiolo Barolo 2015,Italy,Nebbiolo,Red Wine,4.8,14, 2015,42.99
Castello Romitorio Romitoro 2020,Italy,Tuscan Blends,Red Wine,3.8,6, 2020,23.99
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2015,Italy,Other Red Blends,Red Wine,0.0,0, 2015,115.99
Val di Suga Brunello di Montalcino 2016,Italy,Sangiovese,Red Wine,0.0,0, 2016,65.99
Gaja Ca'Marcanda Magari 2019,Italy,Bordeaux Red Blends,Red Wine,0.0,0, 2019,79.99
Fattoria La Fiorita Brunello di Montalcino 2017,Italy,Sangiovese,Red Wine,0.0,0, 2017,76.99
Felsina Vin Santo (375ML half-bottle) 2011,Italy,Other Dessert,Not available,0.0,0, 2011,44.99
